Format Version,1.21,Take Name,Take 2023-09-18 12.49.02 AM,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2023-09-18 12.49.02.397 AM,Total Frames in Take,2263,Total Exported Frames,2263,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 2,Rigid Body 2,Rigid Body 2,Rigid Body 2,Rigid Body 2,Rigid Body 2,Rigid Body 2,Rigid Body 3,Rigid Body 3,Rigid Body 3,Rigid Body 3,Rigid Body 3,Rigid Body 3,Rigid Body 3,Rigid Body 1:Marker1,Rigid Body 1:Marker1,Rigid Body 1:Marker1,Rigid Body 1:Marker2,Rigid Body 1:Marker2,Rigid Body 1:Marker2,Rigid Body 1:Marker3,Rigid Body 1:Marker3,Rigid Body 1:Marker3,Rigid Body 1:Marker4,Rigid Body 1:Marker4,Rigid Body 1:Marker4,Rigid Body 1:Marker5,Rigid Body 1:Marker5,Rigid Body 1:Marker5,Rigid Body 1:Marker6,Rigid Body 1:Marker6,Rigid Body 1:Marker6,Rigid Body 2:Marker1,Rigid Body 2:Marker1,Rigid Body 2:Marker1,Rigid Body 2:Marker2,Rigid Body 2:Marker2,Rigid Body 2:Marker2,Rigid Body 2:Marker3,Rigid Body 2:Marker3,Rigid Body 2:Marker3,Rigid Body 2:Marker4,Rigid Body 2:Marker4,Rigid Body 2:Marker4,Rigid Body 2:Marker6,Rigid Body 2:Marker6,Rigid Body 2:Marker6,Rigid Body 2:Marker7,Rigid Body 2:Marker7,Rigid Body 2:Marker7,Rigid Body 3:Marker1,Rigid Body 3:Marker1,Rigid Body 3:Marker1,Rigid Body 3:Marker2,Rigid Body 3:Marker2,Rigid Body 3:Marker2,Rigid Body 3:Marker3,Rigid Body 3:Marker3,Rigid Body 3:Marker3,Rigid Body 3:Marker4,Rigid Body 3:Marker4,Rigid Body 3:Marker4,Rigid Body 3:Marker5,Rigid Body 3:Marker5,Rigid Body 3:Marker5,Rigid Body 3:Marker6,Rigid Body 3:Marker6,Rigid Body 3:Marker6,Rigid Body 3:Marker7,Rigid Body 3:Marker7,Rigid Body 3:Marker7,Rigid Body 2:Marker5,Rigid Body 2:Marker5,Rigid Body 2:Marker5,Unlabeled:248,Unlabeled:248,Unlabeled:248,Unlabeled:346,Unlabeled:346,Unlabeled:346,Unlabeled:349,Unlabeled:349,Unlabeled:349,Unlabeled:546,Unlabeled:546,Unlabeled:546,Unlabeled:562,Unlabeled:562,Unlabeled:562,Unlabeled:563,Unlabeled:563,Unlabeled:563,Unlabeled:565,Unlabeled:565,Unlabeled:565,Unlabeled:566,Unlabeled:566,Unlabeled:566,Unlabeled:567,Unlabeled:567,Unlabeled:567,Unlabeled:568,Unlabeled:568,Unlabeled:568
,,"949CBA4A565B11EECA23BCA0568DEA5","949CBA4A565B11EECA23BCA0568DEA5","949CBA4A565B11EECA23BCA0568DEA5","949CBA4A565B11EECA23BCA0568DEA5","949CBA4A565B11EECA23BCA0568DEA5","949CBA4A565B11EECA23BCA0568DEA5","949CBA4A565B11EECA23BCA0568DEA5","9FECB4D1565B11EECA23BCA0568DEA5","9FECB4D1565B11EECA23BCA0568DEA5","9FECB4D1565B11EECA23BCA0568DEA5","9FECB4D1565B11EECA23BCA0568DEA5","9FECB4D1565B11EECA23BCA0568DEA5","9FECB4D1565B11EECA23BCA0568DEA5","9FECB4D1565B11EECA23BCA0568DEA5","AC7F4632565B11EECA23BCA0568DEA5","AC7F4632565B11EECA23BCA0568DEA5","AC7F4632565B11EECA23BCA0568DEA5","AC7F4632565B11EECA23BCA0568DEA5","AC7F4632565B11EECA23BCA0568DEA5","AC7F4632565B11EECA23BCA0568DEA5","AC7F4632565B11EECA23BCA0568DEA5","8392B20CF49E3573100000001","8392B20CF49E3573100000001","8392B20CF49E3573100000001","8392B20CF49E3573100000002","8392B20CF49E3573100000002","8392B20CF49E3573100000002","8392B20CF49E3573100000003","8392B20CF49E3573100000003","8392B20CF49E3573100000003","8392B20CF49E3573100000004","8392B20CF49E3573100000004","8392B20CF49E3573100000004","8392B20CF49E3573100000005","8392B20CF49E3573100000005","8392B20CF49E3573100000005","8392B20CF49E3573100000006","8392B20CF49E3573100000006","8392B20CF49E3573100000006","8392B20CF49E3573200000001","8392B20CF49E3573200000001","8392B20CF49E3573200000001","8392B20CF49E3573200000002","8392B20CF49E3573200000002","8392B20CF49E3573200000002","8392B20CF49E3573200000003","8392B20CF49E3573200000003","8392B20CF49E3573200000003","8392B20CF49E3573200000004","8392B20CF49E3573200000004","8392B20CF49E3573200000004","8392B20CF49E3573200000006","8392B20CF49E3573200000006","8392B20CF49E3573200000006","8392B20CF49E3573200000007","8392B20CF49E3573200000007","8392B20CF49E3573200000007","8392B20CF49E3573300000001","8392B20CF49E3573300000001","8392B20CF49E3573300000001","8392B20CF49E3573300000002","8392B20CF49E3573300000002","8392B20CF49E3573300000002","8392B20CF49E3573300000003","8392B20CF49E3573300000003","8392B20CF49E3573300000003","8392B20CF49E3573300000004","8392B20CF49E3573300000004","8392B20CF49E3573300000004","8392B20CF49E3573300000005","8392B20CF49E3573300000005","8392B20CF49E3573300000005","8392B20CF49E3573300000006","8392B20CF49E3573300000006","8392B20CF49E3573300000006","8392B20CF49E3573300000007","8392B20CF49E3573300000007","8392B20CF49E3573300000007","8392B20CF49E3573200000005","8392B20CF49E3573200000005","8392B20CF49E3573200000005","8392B20CF49E3570F8","8392B20CF49E3570F8","8392B20CF49E3570F8","8392B20CF49E357015A","8392B20CF49E357015A","8392B20CF49E357015A","8392B20CF49E357015D","8392B20CF49E357015D","8392B20CF49E357015D","8392B20CF49E3570222","8392B20CF49E3570222","8392B20CF49E3570222","8392B20CF49E3570232","8392B20CF49E3570232","8392B20CF49E3570232","8392B20CF49E3570233","8392B20CF49E3570233","8392B20CF49E3570233","8392B20CF49E3570235","8392B20CF49E3570235","8392B20CF49E3570235","8392B20CF49E3570236","8392B20CF49E3570236","8392B20CF49E3570236","8392B20CF49E3570237","8392B20CF49E3570237","8392B20CF49E3570237","8392B20CF49E3570238","8392B20CF49E3570238","8392B20CF49E3570238"
,,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,,X,Y,Z,X,Y,Z,,X,Y,Z,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.804320,53.901436,-0.940084,-0.095214,0.040531,-0.028529,0.000062,0.972502,5.198626,-0.152095,-0.172425,0.042196,-0.283038,0.000155,-0.745180,-30.292013,-0.434355,-0.036649,0.039213,-0.571720,0.000229,-0.064334,0.041328,0.068122,-0.050512,0.048841,0.033798,-0.154218,0.035051,-0.143268,-0.063635,0.040259,-0.125795,-0.042323,0.043039,0.017426,-0.196258,0.034669,-0.021460,-0.248870,0.032268,-0.276656,-0.137626,0.035046,-0.204894,-0.172056,0.043592,-0.179964,-0.127748,0.068197,-0.326152,-0.180769,0.038401,-0.425036,-0.156941,0.043826,-0.429260,0.011578,0.031935,-0.634013,-0.070055,0.064871,-0.589353,0.025096,0.038065,-0.519044,-0.128869,0.034399,-0.466045,0.033583,0.038880,-0.654406,-0.154720,0.031186,-0.542663,0.026786,0.035182,-0.596489,,,,0.162403,0.019991,0.010096,0.012477,0.019996,0.009926,0.012295,0.019965,0.209887,-0.141691,0.038005,0.033851,,,,,,,,,,,,,,,,,,
1,0.010000,-0.792576,53.895370,-0.993735,-0.095444,0.040531,-0.028752,0.000074,1.041371,5.202568,-0.157854,-0.172632,0.042263,-0.283261,0.000146,-0.879536,-30.427847,-0.570910,-0.036563,0.039083,-0.571646,0.000233,-0.064578,0.041409,0.067933,-0.050735,0.048815,0.033561,-0.154425,0.035021,-0.143509,-0.063844,0.040204,-0.126029,-0.042540,0.043020,0.017203,-0.196539,0.034720,-0.021669,-0.249087,0.032314,-0.276882,-0.137823,0.035018,-0.205139,-0.172253,0.043573,-0.180206,-0.127957,0.068257,-0.326334,-0.180979,0.038640,-0.425250,-0.157161,0.044102,-0.429481,0.011810,0.031615,-0.633802,-0.069890,0.064791,-0.589396,0.025049,0.037837,-0.518814,-0.129033,0.034599,-0.466184,0.033861,0.038522,-0.654158,-0.154723,0.031313,-0.542867,0.026926,0.034937,-0.596272,,,,0.162402,0.019992,0.010099,0.012474,0.019994,0.009928,0.012293,0.019965,0.209887,-0.141920,0.038032,0.033624,,,,,,,,,,,,,,,,,,
2,0.020000,-0.767099,53.898472,-1.058950,-0.095623,0.040474,-0.028987,0.000061,1.099065,5.213348,-0.183527,-0.172842,0.042291,-0.283460,0.000128,-0.970316,-30.551477,-0.666303,-0.036504,0.039001,-0.571597,0.000234,-0.064753,0.041320,0.067656,-0.050925,0.048804,0.033347,-0.154609,0.034977,-0.143723,-0.064061,0.040031,-0.126261,-0.042721,0.042985,0.016975,-0.196668,0.034728,-0.021915,-0.249307,0.032348,-0.277085,-0.138023,0.034961,-0.205362,-0.172432,0.043529,-0.180431,-0.128154,0.068266,-0.326493,-0.181212,0.038820,-0.425440,-0.157412,0.044283,-0.429670,0.011995,0.031398,-0.633607,-0.069760,0.064729,-0.589429,0.025015,0.037664,-0.518656,-0.129235,0.034750,-0.466331,0.034096,0.038275,-0.653940,-0.154751,0.031404,-0.543069,0.027049,0.034819,-0.596119,,,,0.162398,0.019988,0.010101,0.012474,0.019994,0.009930,0.012293,0.019975,0.209894,-0.142123,0.038050,0.033396,,,,,,,,,,,,,,,,,,
3,0.030000,-0.761454,53.909439,-1.088728,-0.095799,0.040465,-0.029192,0.000068,1.147367,5.228577,-0.187379,-0.173054,0.042321,-0.283651,0.000135,-1.086119,-30.709394,-0.725733,-0.036426,0.038905,-0.571498,0.000242,-0.064904,0.041339,0.067443,-0.051086,0.048794,0.033123,-0.154798,0.034937,-0.143924,-0.064281,0.039994,-0.126440,-0.042889,0.042965,0.016756,-0.196835,0.034760,-0.022111,-0.249530,0.032376,-0.277262,-0.138226,0.034890,-0.205564,-0.172629,0.043471,-0.180621,-0.128308,0.068407,-0.326684,-0.181478,0.038958,-0.425625,-0.157679,0.044405,-0.429865,0.012409,0.031100,-0.633340,-0.069642,0.064678,-0.589449,0.024933,0.037636,-0.518440,-0.129457,0.034849,-0.466473,0.034348,0.038050,-0.653673,-0.154773,0.031476,-0.543264,0.027133,0.034584,-0.595814,,,,0.162396,0.019991,0.010102,0.012471,0.019993,0.009934,0.012291,0.019974,0.209895,-0.142288,0.038090,0.033187,,,,,,,,,,,,,,,,,,
4,0.040000,-0.751858,53.928074,-1.133210,-0.095959,0.040442,-0.029417,0.000069,1.176033,5.242670,-0.207394,-0.173297,0.042311,-0.283834,0.000134,-1.138618,-30.857473,-0.798107,-0.036389,0.038817,-0.571368,0.000229,-0.065036,0.041340,0.067218,-0.051223,0.048789,0.032877,-0.155007,0.034910,-0.144123,-0.064457,0.039890,-0.126710,-0.043042,0.042948,0.016529,-0.196988,0.034774,-0.022292,-0.249766,0.032381,-0.277425,-0.138454,0.034829,-0.205766,-0.172857,0.043423,-0.180814,-0.128543,0.068390,-0.326864,-0.181754,0.039020,-0.425795,-0.157969,0.044465,-0.430056,0.012577,0.030986,-0.633112,-0.069547,0.064649,-0.589446,0.024823,0.037576,-0.518183,-0.129670,0.034855,-0.466565,0.034580,0.037921,-0.653387,-0.154827,0.031526,-0.543459,0.027269,0.034249,-0.595395,,,,0.162396,0.019992,0.010105,0.012471,0.019993,0.009935,0.012291,0.019962,0.209894,-0.142431,0.038106,0.032986,,,,,,,,,,,,,,,,,,
5,0.050000,-0.745085,53.941284,-1.122910,-0.096145,0.040438,-0.029638,0.000068,1.184471,5.266591,-0.258178,-0.173576,0.042289,-0.284027,0.000122,-1.127727,-30.989798,-0.791803,-0.036423,0.038864,-0.571283,0.000227,-0.065205,0.041324,0.066988,-0.051374,0.048768,0.032639,-0.155237,0.034913,-0.144332,-0.064631,0.039937,-0.126926,-0.043212,0.042923,0.016290,-0.197208,0.034764,-0.022491,-0.250029,0.032407,-0.277582,-0.138693,0.034814,-0.205984,-0.173086,0.043417,-0.181020,-0.128880,0.068218,-0.327047,-0.182083,0.039054,-0.425992,-0.158300,0.044467,-0.430251,0.012541,0.031098,-0.632926,-0.069487,0.064637,-0.589415,0.024687,0.037564,-0.517900,-0.129967,0.034906,-0.466729,0.034796,0.037885,-0.653086,-0.154893,0.031541,-0.543653,0.027293,0.034451,-0.595246,,,,0.162399,0.019992,0.010107,0.012474,0.019992,0.009935,0.012294,0.019964,0.209897,-0.142584,0.038120,0.032791,,,,,,,,,,,,,,,,,,
