Format Version,1.21,Take Name,Take 2023-07-06 12.25.47 AM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2023-07-06 12.25.47.841 AM,Total Frames in Take,2173,Total Exported Frames,2173,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 2,Rigid Body 2,Rigid Body 2,Rigid Body 2,Rigid Body 2,Rigid Body 2,Rigid Body 2,Rigid Body 3,Rigid Body 3,Rigid Body 3,Rigid Body 3,Rigid Body 3,Rigid Body 3,Rigid Body 3,Rigid Body 1:Marker1,Rigid Body 1:Marker1,Rigid Body 1:Marker1,Rigid Body 1:Marker2,Rigid Body 1:Marker2,Rigid Body 1:Marker2,Rigid Body 1:Marker3,Rigid Body 1:Marker3,Rigid Body 1:Marker3,Rigid Body 1:Marker4,Rigid Body 1:Marker4,Rigid Body 1:Marker4,Rigid Body 1:Marker5,Rigid Body 1:Marker5,Rigid Body 1:Marker5,Rigid Body 1:Marker6,Rigid Body 1:Marker6,Rigid Body 1:Marker6,Rigid Body 1:Marker7,Rigid Body 1:Marker7,Rigid Body 1:Marker7,Rigid Body 2:Marker1,Rigid Body 2:Marker1,Rigid Body 2:Marker1,Rigid Body 2:Marker2,Rigid Body 2:Marker2,Rigid Body 2:Marker2,Rigid Body 2:Marker3,Rigid Body 2:Marker3,Rigid Body 2:Marker3,Rigid Body 2:Marker4,Rigid Body 2:Marker4,Rigid Body 2:Marker4,Rigid Body 2:Marker5,Rigid Body 2:Marker5,Rigid Body 2:Marker5,Rigid Body 2:Marker6,Rigid Body 2:Marker6,Rigid Body 2:Marker6,Rigid Body 2:Marker7,Rigid Body 2:Marker7,Rigid Body 2:Marker7,Rigid Body 3:Marker1,Rigid Body 3:Marker1,Rigid Body 3:Marker1,Rigid Body 3:Marker2,Rigid Body 3:Marker2,Rigid Body 3:Marker2,Rigid Body 3:Marker3,Rigid Body 3:Marker3,Rigid Body 3:Marker3,Rigid Body 3:Marker4,Rigid Body 3:Marker4,Rigid Body 3:Marker4,Rigid Body 3:Marker5,Rigid Body 3:Marker5,Rigid Body 3:Marker5,Rigid Body 3:Marker6,Rigid Body 3:Marker6,Rigid Body 3:Marker6,Rigid Body 3:Marker7,Rigid Body 3:Marker7,Rigid Body 3:Marker7,Unlabeled:159,Unlabeled:159,Unlabeled:159,Unlabeled:160,Unlabeled:160,Unlabeled:160,Unlabeled:156,Unlabeled:156,Unlabeled:156,Unlabeled:162,Unlabeled:162,Unlabeled:162,Unlabeled:166,Unlabeled:166,Unlabeled:166,Unlabeled:167,Unlabeled:167,Unlabeled:167,Unlabeled:170,Unlabeled:170,Unlabeled:170,Unlabeled:129,Unlabeled:129,Unlabeled:129,Unlabeled:128,Unlabeled:128,Unlabeled:128,Unlabeled:172,Unlabeled:172,Unlabeled:172
,,"B95C41131C3211EECA23BCA0568E99C","B95C41131C3211EECA23BCA0568E99C","B95C41131C3211EECA23BCA0568E99C","B95C41131C3211EECA23BCA0568E99C","B95C41131C3211EECA23BCA0568E99C","B95C41131C3211EECA23BCA0568E99C","B95C41131C3211EECA23BCA0568E99C","B95C41151C3211EECA23BCA0568E99C","B95C41151C3211EECA23BCA0568E99C","B95C41151C3211EECA23BCA0568E99C","B95C41151C3211EECA23BCA0568E99C","B95C41151C3211EECA23BCA0568E99C","B95C41151C3211EECA23BCA0568E99C","B95C41151C3211EECA23BCA0568E99C","C86A63121C3211EECA23BCA0568E99C","C86A63121C3211EECA23BCA0568E99C","C86A63121C3211EECA23BCA0568E99C","C86A63121C3211EECA23BCA0568E99C","C86A63121C3211EECA23BCA0568E99C","C86A63121C3211EECA23BCA0568E99C","C86A63121C3211EECA23BCA0568E99C","8392B20CF49E3573100000001","8392B20CF49E3573100000001","8392B20CF49E3573100000001","8392B20CF49E3573100000002","8392B20CF49E3573100000002","8392B20CF49E3573100000002","8392B20CF49E3573100000003","8392B20CF49E3573100000003","8392B20CF49E3573100000003","8392B20CF49E3573100000004","8392B20CF49E3573100000004","8392B20CF49E3573100000004","8392B20CF49E3573100000005","8392B20CF49E3573100000005","8392B20CF49E3573100000005","8392B20CF49E3573100000006","8392B20CF49E3573100000006","8392B20CF49E3573100000006","8392B20CF49E3573100000007","8392B20CF49E3573100000007","8392B20CF49E3573100000007","8392B20CF49E3573200000001","8392B20CF49E3573200000001","8392B20CF49E3573200000001","8392B20CF49E3573200000002","8392B20CF49E3573200000002","8392B20CF49E3573200000002","8392B20CF49E3573200000003","8392B20CF49E3573200000003","8392B20CF49E3573200000003","8392B20CF49E3573200000004","8392B20CF49E3573200000004","8392B20CF49E3573200000004","8392B20CF49E3573200000005","8392B20CF49E3573200000005","8392B20CF49E3573200000005","8392B20CF49E3573200000006","8392B20CF49E3573200000006","8392B20CF49E3573200000006","8392B20CF49E3573200000007","8392B20CF49E3573200000007","8392B20CF49E3573200000007","8392B20CF49E3573300000001","8392B20CF49E3573300000001","8392B20CF49E3573300000001","8392B20CF49E3573300000002","8392B20CF49E3573300000002","8392B20CF49E3573300000002","8392B20CF49E3573300000003","8392B20CF49E3573300000003","8392B20CF49E3573300000003","8392B20CF49E3573300000004","8392B20CF49E3573300000004","8392B20CF49E3573300000004","8392B20CF49E3573300000005","8392B20CF49E3573300000005","8392B20CF49E3573300000005","8392B20CF49E3573300000006","8392B20CF49E3573300000006","8392B20CF49E3573300000006","8392B20CF49E3573300000007","8392B20CF49E3573300000007","8392B20CF49E3573300000007","8392B20CF49E35709F","8392B20CF49E35709F","8392B20CF49E35709F","8392B20CF49E3570A0","8392B20CF49E3570A0","8392B20CF49E3570A0","8392B20CF49E35709C","8392B20CF49E35709C","8392B20CF49E35709C","8392B20CF49E3570A2","8392B20CF49E3570A2","8392B20CF49E3570A2","8392B20CF49E3570A6","8392B20CF49E3570A6","8392B20CF49E3570A6","8392B20CF49E3570A7","8392B20CF49E3570A7","8392B20CF49E3570A7","8392B20CF49E3570AA","8392B20CF49E3570AA","8392B20CF49E3570AA","8392B20CF49E357081","8392B20CF49E357081","8392B20CF49E357081","8392B20CF49E357080","8392B20CF49E357080","8392B20CF49E357080","8392B20CF49E3570AC","8392B20CF49E3570AC","8392B20CF49E3570AC"
,,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,,X,Y,Z,X,Y,Z,,X,Y,Z,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.227188,3.901398,0.249008,-0.151373,0.052105,0.352391,0.000081,0.021958,6.787099,0.255372,-0.156311,0.052815,0.130232,0.000202,0.183147,11.479272,0.617313,-0.187878,0.049000,-0.079084,0.000075,-0.122590,0.046307,0.424792,-0.094116,0.044572,0.311867,-0.151663,0.062266,0.234338,-0.150486,0.048885,0.439308,-0.156353,0.056488,0.308911,-0.208486,0.054881,0.315284,-0.175915,0.051336,0.432241,-0.117546,0.046045,0.196310,-0.193729,0.052852,0.189885,-0.151663,0.062266,0.234338,-0.128122,0.052970,0.156857,-0.164115,0.059084,0.021833,-0.202294,0.051122,0.072743,-0.136709,0.045366,0.039650,-0.123178,0.043938,-0.069236,-0.136181,0.043670,-0.128350,-0.164115,0.059084,0.021833,-0.204628,0.036235,-0.177206,-0.247340,0.051625,-0.104222,-0.204697,0.056181,-0.051319,-0.234995,0.052267,-0.045092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.008333,-0.227430,3.901741,0.248402,-0.151372,0.052106,0.352393,0.000080,0.021056,6.786944,0.255830,-0.156311,0.052814,0.130233,0.000199,0.183781,11.479230,0.616510,-0.187877,0.049000,-0.079083,0.000074,-0.122590,0.046305,0.424791,-0.094114,0.044571,0.311875,-0.151664,0.062269,0.234340,-0.150485,0.048886,0.439310,-0.156357,0.056489,0.308912,-0.208483,0.054879,0.315285,-0.175911,0.051340,0.432243,-0.117544,0.046045,0.196306,-0.193728,0.052850,0.189886,-0.151664,0.062269,0.234340,-0.128125,0.052969,0.156857,-0.164114,0.059084,0.021836,-0.202291,0.051120,0.072744,-0.136710,0.045362,0.039658,-0.123181,0.043938,-0.069237,-0.136181,0.043667,-0.128346,-0.164114,0.059084,0.021836,-0.204627,0.036237,-0.177210,-0.247342,0.051625,-0.104221,-0.204695,0.056183,-0.051316,-0.234993,0.052265,-0.045092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.016667,-0.221845,3.896428,0.237544,-0.151376,0.052098,0.352395,0.000076,0.021114,6.787718,0.255639,-0.156308,0.052813,0.130234,0.000200,0.186258,11.478767,0.615756,-0.187876,0.048999,-0.079083,0.000075,-0.122630,0.046260,0.424808,-0.094113,0.044571,0.311873,-0.151656,0.062263,0.234341,-0.150486,0.048884,0.439309,-0.156354,0.056489,0.308909,-0.208483,0.054883,0.315284,-0.175913,0.051337,0.432244,-0.117545,0.046046,0.196309,-0.193725,0.052849,0.189887,-0.151656,0.062263,0.234341,-0.128119,0.052969,0.156856,-0.164113,0.059078,0.021835,-0.202287,0.051122,0.072746,-0.136708,0.045362,0.039656,-0.123178,0.043937,-0.069236,-0.136181,0.043667,-0.128345,-0.164113,0.059078,0.021835,-0.204624,0.036239,-0.177208,-0.247341,0.051629,-0.104225,-0.204690,0.056181,-0.051317,-0.234994,0.052262,-0.045090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.025000,-0.222028,3.897643,0.237816,-0.151375,0.052098,0.352395,0.000077,0.020872,6.786975,0.251867,-0.156308,0.052814,0.130234,0.000201,0.184801,11.480073,0.616306,-0.187876,0.048999,-0.079083,0.000075,-0.122628,0.046262,0.424807,-0.094114,0.044567,0.311871,-0.151661,0.062267,0.234341,-0.150483,0.048886,0.439313,-0.156348,0.056489,0.308912,-0.208480,0.054880,0.315286,-0.175911,0.051336,0.432241,-0.117543,0.046043,0.196306,-0.193726,0.052855,0.189890,-0.151661,0.062267,0.234341,-0.128120,0.052967,0.156858,-0.164109,0.059079,0.021834,-0.202288,0.051123,0.072746,-0.136710,0.045363,0.039655,-0.123179,0.043939,-0.069237,-0.136179,0.043665,-0.128347,-0.164109,0.059079,0.021834,-0.204626,0.036238,-0.177207,-0.247342,0.051625,-0.104220,-0.204697,0.056180,-0.051316,-0.234992,0.052266,-0.045092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033333,-0.227610,3.901712,0.247900,-0.151368,0.052105,0.352395,0.000081,0.021162,6.786682,0.256610,-0.156309,0.052814,0.130235,0.000200,0.184746,11.480805,0.618431,-0.187876,0.049000,-0.079082,0.000075,-0.122588,0.046306,0.424795,-0.094112,0.044569,0.311873,-0.151660,0.062267,0.234342,-0.150481,0.048887,0.439311,-0.156349,0.056489,0.308915,-0.208482,0.054880,0.315285,-0.175907,0.051338,0.432245,-0.117544,0.046045,0.196311,-0.193726,0.052850,0.189887,-0.151660,0.062267,0.234342,-0.128124,0.052971,0.156857,-0.164109,0.059078,0.021837,-0.202290,0.051122,0.072745,-0.136708,0.045367,0.039657,-0.123178,0.043939,-0.069238,-0.136178,0.043672,-0.128348,-0.164109,0.059078,0.021837,-0.204628,0.036236,-0.177205,-0.247341,0.051624,-0.104221,-0.204693,0.056187,-0.051322,-0.234993,0.052263,-0.045086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.041667,-0.222201,3.897820,0.239212,-0.151375,0.052099,0.352397,0.000076,0.021326,6.787203,0.256506,-0.156308,0.052814,0.130232,0.000202,0.184351,11.480516,0.617904,-0.187877,0.048999,-0.079083,0.000076,-0.122627,0.046263,0.424809,-0.094113,0.044571,0.311871,-0.151659,0.062266,0.234341,-0.150483,0.048885,0.439312,-0.156352,0.056487,0.308913,-0.208482,0.054881,0.315288,-0.175910,0.051337,0.432245,-0.117542,0.046047,0.196310,-0.193727,0.052849,0.189887,-0.151659,0.062266,0.234341,-0.128124,0.052972,0.156855,-0.164110,0.059079,0.021834,-0.202287,0.051124,0.072743,-0.136711,0.045365,0.039650,-0.123179,0.043940,-0.069236,-0.136185,0.043670,-0.128348,-0.164110,0.059079,0.021834,-0.204628,0.036235,-0.177208,-0.247341,0.051624,-0.104223,-0.204695,0.056181,-0.051322,-0.234991,0.052264,-0.045088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
